reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9670192e-5074-442b-91e2-a71925303094,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Makin hari makin BURUK! segala upaya biar lancar masuk aplikasi tetap ga berubah! clear cache/install ulang aplikasi tetap BERAT! Menu Homepage aja buat liat kuota/pulsa loadingnya parah, LAMA.. Aplikasi cuma buat liat kuota/pulsa/beli paket data lemotnya ngelebihin aplikasi Online Shop!",1,37,8.6.2,2025-02-08 04:32:21,"Hai Kak Ardinanto, Mohon maaf untuk ketidaknyamanannya, karena kami memerlukan informasi lebih lanjut untuk membantu kakak, silakan hubungi kami di DM Instagram @telkomsel atau chat di tsel.id/chatva. Semoga membantu. :) -Edo",2025-01-24 07:19:05,8.6.2
ce590d13-60cc-4f25-8092-e4a3430cf849,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Makin hari makin BURUK! segala upaya biar lancar masuk aplikasi tetap ga berubah! clear cache/install ulang aplikasi tetap BERAT! kebanyakan ""fitur"" ga penting! Menu Homepage aja buat liat kuota/pulsa loadingnya parah,LAMA.. Aplikasi cuma buat liat kuota/pulsa/beli paket data lemotnya ngelebihin aplikasi Online Shop! sering crash,kadang force close.Ada stamp harian berhadiah pun percuma kalo buka Aplikasi lemot kaya begitu.",1,3058,8.6.2,2025-01-25 18:08:25,"Hai Kak RNP. Mohon maaf untuk ketidaknyamanannya ya, apabila aplikasi MyTelkomsel terlalu berat di handphone kakak, silakan coba unduh MyTelkomsel Basic. Aplikasi ini sudah tersedia di PlayStore. Apabila masih mengalami kendala, silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva. Semoga membantu. -Sekar",2025-01-26 04:44:33,8.6.2
792fa0db-d192-4499-8789-7aa36c3c9607,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Pulsa terpotong sendiri padahal tidak mengaktifkan data seluler, saat isi pulsa ada notifikasi pulsa terpotong karna digunakan untuk pelunasan pinjam paket. Padahal tidak mengaktifkan paket di darurat Tanpa ada pemberitahuan. Jelaskan alasan nya.",2,16,8.6.2,2025-02-07 17:35:09,"Maaf banget ya, Kak Febrian. Apabila Kakak mengalami kendala saat akses aplikasi MyTelkomsel. Yuk segera hubungi Mimin melalui fitur bantuan di DM Instagram @Telkomsel atau kirim email ke cs@telkomsel.com untuk dibantu lebih lanjut. Mimin tunggu ya kak. Makasih :) -Ken",2024-06-15 12:20:28,8.6.2
6763f606-114d-4f01-820a-2184a28ca3d1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi itu dimana ketika di lakukannya suatu update harusnya lebih baik dan bagus, ini malah lebih jelek dari segi tampilan UI membingungkan dari segi performa jelek parah sering nge crash, suka tiba² logout sendiri. Tolonglah sudah 2025 ini sekedar merawat aplikasi saja kalian tidak becus, harga paket data kalian tidak murah lho. Thx",1,15,8.6.2,2025-02-07 00:24:42,"Hai Kak Fachru. Maaf bikin gak nyaman, silakan coba cara berikut ya Kak:
1. Clear cache aplikasi
2. Force close aplikasi
lalu coba login kembali, jika masih berkendala bisa coba uninstall aplikasinya lalu download ulang di Google Play Store. Silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva. Semoga membantu. :) -Sekar",2025-02-07 05:17:48,8.6.2
3867fbac-0570-4a79-9fa9-d3d37cfd7ceb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"percuma beri ulasan tapi gak pernah di tanggapi, perbaiki lah aplikasi nya terlalu berat dan loading nya lama banget terlalu banyak bug aplikasi ini, banyak fitur' yang ga berguna juga. percuma juga si ngetik gini kaga bakal diperbaiki aplikasinya. yaaah semoga aja lah di liat dan diperbaiki aplikasi ini.",1,176,8.6.2,2025-02-01 11:20:43,"Maaf ya, Kak Rafi. Terkait kendala aplikasi MyTelkomsel. Yuk hubungi mimin untuk dibantu lebih lanjut melalui email cs@telkomsel.com atau Instagram @Telkomsel. Mimin tunggu ya :) -Sekar",2024-08-13 23:39:02,8.6.2
8c98eb5a-8b2e-43f4-9f53-0cecf85b59c8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Udah berkali-kali bersihkan cache uninstall terus install ulang berkali-kali tetap tidak ada pergerakan , Liat ulasan laen operatornya bilang apk nya berat , Kurang gede apa ram 8 masih ga guna juga ini apk. Kalopun ga ada perubahan pindah provider lain dah. Signal juga makin lama makin lag terus kalah sama XL",1,129,8.6.2,2025-02-01 16:17:11,"Hai, Kak Hasan. Mohon maaf untuk ketidaknyamanannya ya, apabila aplikasi MyTelkomsel terlalu berat di handphone Kakak, silakan coba unduh MyTelkomsel Basic. Aplikasi ini sudah tersedia di PlayStore. Apabila masih mengalami kendala, silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva. Semoga membantu. :) -Ken",2025-02-02 13:29:55,8.6.2
168c3318-ff28-4c4b-a3b5-f2e9c53b80a0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sebenarnya sudah mulai bosan, sebab masalahnya selalu itu saja. Seolah-olah tidak akan pernah diperbaiki. Klaim app adalah kemudahan, namun app ini sendiri tidaklah efisien, sangat berat, menguras baterai, bahkan app ini mengkonsumsi kuota yg banyak dengan banyaknya item penawaran yg kebanyakan orang tidaklah butuh. App ini hampir sama dg game berat, yg menjadi dampaknya adalah yg menggunakan spesifikasi hp kelas bawah meskipun keluaran terbaru.",1,877,8.6.2,2025-01-23 01:11:23,"Hai Kak Kurniadi. Mohon maaf untuk ketidaknyamanannya ya, apabila aplikasi MyTelkomsel terlalu berat di handphone kakak, silakan coba unduh MyTelkomsel Basic. Aplikasi ini sudah tersedia di PlayStore. Apabila masih mengalami kendala, silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva. Semoga membantu. -Sekar",2025-01-23 03:57:10,8.6.2
9d1f7905-79d7-48ae-b80d-574f21810f20,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi yg sulit diakses, meski menggunakan jaringannya sendiri!! Amit amit Anggaran operasional keluar terus,, tp pelayanan TIDAK OPTIMAL!! Update aplikasi cuma menambahkan fitur fitur yg TIDAK BERGUNA!! KUALITAS JUSTRU MAKIN BUSUK!!",1,38,8.6.1,2025-02-03 00:41:26,"Hai Kak Andri, Mohon maaf untuk ketidaknyamanannya ya, silakan coba cara berikut ya Kak:
1. Clear cache aplikasi
2. Force close aplikasi
lalu coba login kembali, apabila masih mengalami kendala, silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva. Semoga membantu. :) -Edo",2025-02-03 12:05:28,8.6.1
1444d914-abe1-4f7c-b8c2-960925d04313,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"App nya makin bagus dari segi tampilan,cuman untuk kartu kedua jadi semakin sedikit menu yg bisa di pilih. Minus parahnya semakin banyak fitur"" aneh nya contoh Music Player, iklan ini itu dll. Sekedar saran lebih baik kasih fitur yg berguna untuk pelanggan seperti kotak masuk yg lebih tertata.. Notif yg dapat langsung di lihat semua tanpa harus satu"" di pencet. Kotak masuk yg dibedakan antara telkomsel poin atau pembelian pulsa/kouta. Intinya user friendly/experience nya ditingkatkan.",3,14,8.6.2,2025-02-05 06:18:58,"Hai Kak Dewata, terima kasih untuk saran dan masukannya ya Kak. Hal ini sangat berarti bagi kami untuk meningkatkan Layanan dan performance aplikasi MyTelkomsel. :) -Sekar",2025-02-05 06:08:55,8.6.2
90fec488-cc02-4bf2-9b02-2b361ab8ed0e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Dulu aplikasi telkomsel bagus, sekarang makin lambat. Dan kenapa aplikasi ini ga bisa di uninstall, bisanya cm di nonaktifkan. Tanpa seijin saya menjadi aplikasi bloatware. Nyusahin dan buang buang kuota tapi hasil zonk. Masih bug error, seperti programernya.",1,160,8.6.1,2025-01-13 07:02:33,"Hai Kak Susilo. Mohon maaf untuk ketidaknyamanannya ya, silakan coba cara berikut ya Kak:
1. Clear cache aplikasi
2. Force close aplikasi
lalu coba login kembali, apabila masih mengalami kendala, silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva. Semoga membantu. :) -Sekar",2024-11-08 11:08:41,8.6.1
